branch,commits_ahead,files,superseded_files,superseded_pct,age_days,last_subject
origin/agent/chatgpt-local-reconcile-smarter-524fe512010e-mirror-from-smarter,1,2,0,0.0,6,agent: chatgpt-local-reconcile-smarter-524fe512010e-mirror-from-smarter
origin/agent/chatgpt-local-reconcile-smarter-5576fa096e27-mirror-from-smarter,1,2,0,0.0,6,agent: chatgpt-local-reconcile-smarter-5576fa096e27-mirror-from-smarter
origin/agent/chatgpt-local-reconcile-smarter-74529c7b89a1-mirror-from-smarter,1,2,0,0.0,6,agent: chatgpt-local-reconcile-smarter-74529c7b89a1-mirror-from-smarter
origin/agent/chatgpt-local-reconcile-smarter-8e8055b75d1e-mirror-from-smarter,1,2,0,0.0,6,agent: chatgpt-local-reconcile-smarter-8e8055b75d1e-mirror-from-smarter
origin/agent/chatgpt-local-reconcile-smarter-a6b636dd32b4-mirror-from-smarter,1,2,0,0.0,6,agent: chatgpt-local-reconcile-smarter-a6b636dd32b4-mirror-from-smarter
origin/agent/chatgpt-local-reconcile-smarter-b251bde66605-mirror-from-smarter,1,3,0,0.0,6,agent: chatgpt-local-reconcile-smarter-b251bde66605-mirror-from-smarter
origin/agent/contracts-apparently-development-session-embed,1,2,0,0.0,6,agent: contracts-apparently-development-session-embed
origin/agent/copyfix-apparently-08191300,1,2,0,0.0,6,agent: copyfix-apparently-08191300
origin/agent/copyfix-apparently-08240406,1,3,0,0.0,6,agent: copyfix-apparently-08240406
origin/agent/dropbox-apparently-apparently-treasury-the-business-risk-management--consumer-simple-ux-bar-a-cfo-gc-must-grasp-the-w,1,9,0,0.0,7,agent: dropbox-apparently-apparently-treasury-the-business-risk-management--consumer-simpl
origin/agent/dropbox-apparently-apparently-treasury-the-business-risk-management--department-coordination-material-treasury-decisi,1,3,0,0.0,7,agent: dropbox-apparently-apparently-treasury-the-business-risk-management--department-coo
origin/agent/dropbox-apparently-apparently-treasury-the-business-risk-management--risk-lineage-12-8-5-headline-feature-name-it-tha,1,3,0,0.0,7,agent: dropbox-apparently-apparently-treasury-the-business-risk-management--risk-lineage-1
origin/agent/dropbox-apparently-apparently-treasury-the-business-risk-management--the-tab-composes-existing-queued-surfaces-into-o,1,4,0,0.0,7,agent: dropbox-apparently-apparently-treasury-the-business-risk-management--the-tab-compos
origin/agent/dropbox-apparently-harvey-feature-parity-clean-room-the-network-bund-bundle-entitlement-service,1,3,0,0.0,7,agent: dropbox-apparently-harvey-feature-parity-clean-room-the-network-bund-bundle-entitle
origin/agent/dropbox-apparently-harvey-feature-parity-clean-room-the-network-bund-client-matter-permissioning,1,3,0,0.0,7,agent: dropbox-apparently-harvey-feature-parity-clean-room-the-network-bund-client-matter-
origin/agent/dropbox-apparently-harvey-feature-parity-clean-room-the-network-bund-contracts,1,4,0,0.0,7,agent: dropbox-apparently-harvey-feature-parity-clean-room-the-network-bund-contracts
origin/agent/dropbox-apparently-harvey-feature-parity-clean-room-the-network-bund-counterparty-anticipator,1,4,0,0.0,7,agent: dropbox-apparently-harvey-feature-parity-clean-room-the-network-bund-counterparty-a
origin/agent/dropbox-apparently-harvey-feature-parity-clean-room-the-network-bund-downstream-consequence-engine,1,2,0,0.0,7,agent: dropbox-apparently-harvey-feature-parity-clean-room-the-network-bund-downstream-con
origin/agent/dropbox-apparently-harvey-feature-parity-clean-room-the-network-bund-feature-parity-invariant-hivemind,1,6,0,0.0,7,agent: dropbox-apparently-harvey-feature-parity-clean-room-the-network-bund-feature-parity
origin/agent/dropbox-apparently-harvey-feature-parity-clean-room-the-network-bund-firm-knowledge-search,1,6,0,0.0,7,agent: dropbox-apparently-harvey-feature-parity-clean-room-the-network-bund-firm-knowledge
origin/agent/dropbox-apparently-harvey-feature-parity-clean-room-the-network-bund-harvey-parity-catalog,1,5,0,0.0,7,agent: dropbox-apparently-harvey-feature-parity-clean-room-the-network-bund-harvey-parity-
origin/agent/dropbox-apparently-harvey-feature-parity-clean-room-the-network-bund-overnight-associate-brief,1,5,0,0.0,7,agent: dropbox-apparently-harvey-feature-parity-clean-room-the-network-bund-overnight-asso
origin/agent/dropbox-apparently-harvey-feature-parity-clean-room-the-network-bund-seat-management-ui,1,5,0,0.0,7,agent: dropbox-apparently-harvey-feature-parity-clean-room-the-network-bund-seat-managemen
origin/agent/dropbox-apparently-harvey-feature-parity-clean-room-the-network-bund-smarter-decoy-pricing-waitlist,1,6,0,0.0,7,agent: dropbox-apparently-harvey-feature-parity-clean-room-the-network-bund-smarter-decoy-
origin/agent/dropbox-apparently-harvey-feature-parity-clean-room-the-network-bund-vault-matter-workspaces,1,6,0,0.0,7,agent: dropbox-apparently-harvey-feature-parity-clean-room-the-network-bund-vault-matter-w
origin/agent/dropbox-apparently-harvey-feature-parity-clean-room-the-network-bund-workflow-builder-surface,1,5,0,0.0,7,agent: dropbox-apparently-harvey-feature-parity-clean-room-the-network-bund-workflow-build
origin/agent/dropbox-orchestrator-intake-backlog-darwin-kernel-rollout-cross-prod-apparently-govern-bots,1,1,0,0.0,6,agent: dropbox-orchestrator-intake-backlog-darwin-kernel-rollout-cross-prod-apparently-gov
origin/agent/dropbox-prompt-smarter-capability-bridge-contracts-mirror-from-smarter,1,3,0,0.0,7,agent: dropbox-prompt-smarter-capability-bridge-contracts-mirror-from-smarter
origin/agent/dropbox-prompt-smarter-capability-bridge-group-2-mirror-from-smarter,1,7,0,0.0,7,agent: dropbox-prompt-smarter-capability-bridge-group-2-mirror-from-smarter
origin/agent/dropbox-prompt-smarter-capability-bridge-group-3-mirror-from-smarter,1,4,0,0.0,7,agent: dropbox-prompt-smarter-capability-bridge-group-3-mirror-from-smarter
origin/agent/dropbox-prompt-smarter-capability-bridge-group-4-mirror-from-smarter,1,5,0,0.0,7,agent: dropbox-prompt-smarter-capability-bridge-group-4-mirror-from-smarter
origin/agent/dropbox-prompt-smarter-capability-bridge-group-5-mirror-from-smarter,1,4,0,0.0,7,agent: dropbox-prompt-smarter-capability-bridge-group-5-mirror-from-smarter
origin/agent/dropbox-v5-final-additions-sm-3-leave-timing-optimizer-ap-6-live-reg-ap6a-portal,1,8,0,0.0,5,agent: dropbox-v5-final-additions-sm-3-leave-timing-optimizer-ap-6-live-reg-ap6a-portal
origin/agent/exchange-book-and-bids,1,6,0,0.0,6,"exchange: implement book and bids, and make the recovered suite test them"
origin/agent/focused-adjudicate-75769db7-g01,1,1,0,0.0,6,adjudicate 75769db7-g01: a module that looked lost had only been moved
origin/agent/focused-adjudicate-75769db7-g02,1,1,0,0.0,6,adjudicate 75769db7-g02: all eleven refs are deletion-only
origin/agent/focused-adjudicate-75769db7-g03,1,1,0,0.0,6,adjudicate 75769db7-g03: all eleven refs are deletion-only
origin/agent/focused-adjudicate-75769db7-g04,1,1,0,0.0,6,adjudicate 75769db7-g04: all eleven refs are deletion-only
origin/agent/focused-adjudicate-75769db7-g05,1,3,0,0.0,6,adjudicate 75769db7-g05: nine of the eleven refs would delete the repository
origin/agent/focused-adjudicate-75769db7-g06,1,1,0,0.0,6,adjudicate 75769db7-g06: all eleven refs are deletion-only
origin/agent/focused-adjudicate-75769db7-g07,1,1,0,0.0,6,"adjudicate 75769db7-g07: ten empty sweeps, and one ref that needed reading"
origin/agent/focused-adjudicate-75769db7-g08,1,1,0,0.0,6,adjudicate 75769db7-g08: all eleven refs are deletion-only
origin/agent/focused-adjudicate-75769db7-g09,1,1,0,0.0,6,"adjudicate 75769db7-g09: twelve refs that all carried content, all superseded"
origin/agent/focused-adjudicate-75769db7-g10,1,1,0,0.0,6,"adjudicate 75769db7-g10: four refs would delete a shipped subsystem, and they look reviewa"
origin/agent/focused-adjudicate-75769db7-worktree-2,1,1,0,0.0,6,"adjudicate 75769db7-worktree-2: kv.ts is not missing, it moved"
origin/agent/focused-adjudicate-f4ebda-rls-audit-divergence,1,1,0,0.0,6,recovery(f4ebda): record RLS-audit divergence verdict — both sandbox files are older snaps
origin/agent/reconcile-apparently-coverage-once,1,4,0,0.0,6,recovery: measure what the reconcile ledgers cover before running a seventh pass
origin/agent/recover-apparently-rescue-00041707,1,3298,0,0.0,6,recover: refs/orchestrator/integrations/9813bbb3-6887-44eb-ac14-804fbb832c59/0001/0fca5fde
origin/agent/recover-apparently-rescue-00bce7d7,1,1658,0,0.0,6,recover: refs/recovery/git-write-20260819T012834Z/00bce7d74992b84406d31a5481688643d575f0d1
origin/agent/recover-apparently-rescue-012ebebe,1,3399,0,0.0,6,recover: refs/recovery/git-write-20260724T042601Z/012ebebe6d30e057813e819cc708d5112d0aa415
origin/agent/recover-apparently-rescue-0326f9c7,1,509,0,0.0,6,recover: refs/recovery/git-write-20260819T012834Z/0326f9c7ceca8410f3d1dd78b1eff7d59467deed
origin/agent/recover-apparently-rescue-04d74d7f,1,1713,0,0.0,6,recover: refs/archive/stash/1786826405/8
origin/agent/recover-apparently-rescue-07aaa03b,1,3294,0,0.0,6,recover: refs/recovery/git-write-20260724T042601Z/07aaa03b648dcd44dd47b6fd8c191d314105f7e2
origin/agent/recover-apparently-rescue-09785230,1,1712,0,0.0,6,recover: refs/archive/stash/1786826405/6
origin/agent/recover-apparently-rescue-0a580a79,1,3294,0,0.0,6,recover: refs/recovery/git-write-20260724T042601Z/0a580a798df47827fc7324c7520766338e288d6a
origin/agent/recover-apparently-rescue-0ca1b598,1,986,0,0.0,6,recover: refs/recovery/git-write-20260807T032716Z/0ca1b59830ed639069c8c6b988b52c5c6d878db7
origin/agent/recover-apparently-rescue-0da0b5d1,1,3295,0,0.0,6,recover: refs/recovery/git-write-20260724T042601Z/0da0b5d153c9a56f5d4d75f826adbcc125292642
origin/agent/recover-apparently-rescue-13d0a48e,1,986,0,0.0,6,recover: refs/recovery/git-write-20260807T032716Z/13d0a48ed92739df787d6b9ed6d47df202a00231
origin/agent/recover-apparently-rescue-13dd2ca5,1,3294,0,0.0,6,recover: refs/recovery/git-write-20260724T042601Z/13dd2ca55204ac650371657cc85325259feee9a6
origin/agent/recover-apparently-rescue-1599579e,1,791,0,0.0,6,recover: refs/recovery/git-write-20260819T012834Z/1599579e426c41cc2d0804076d785760f0633bba
origin/agent/recover-apparently-rescue-179e22ef,1,3298,0,0.0,6,recover: refs/orchestrator/integrations/54534f19-1b96-409a-8fcd-d2905d5f4c72/0001/6db151d8
origin/agent/recover-apparently-rescue-1859cf5b,1,1559,0,0.0,6,recover: consolidation/dev-20260823
origin/agent/recover-apparently-rescue-192a986f,1,1437,0,0.0,6,recover: refs/recovery/git-write-20260807T032716Z/192a986f31532ef3171756557c09cef0813a8f7e
origin/agent/recover-apparently-rescue-19728ec3,1,3294,0,0.0,6,recover: refs/orchestrator/integrations/3b370ef8-0578-4c0a-9251-b0c3d567124a/0001/6c4c6d38
origin/agent/recover-apparently-rescue-1a629908,1,1428,0,0.0,6,recover: refs/recovery/git-write-20260807T032716Z/1a6299084c30f56c053bd797c1dfc08c05392a64
origin/agent/recover-apparently-rescue-1d3aea68,1,509,0,0.0,6,recover: refs/recovery/git-write-20260819T012834Z/1d3aea68a042b402b2a4e75070d328a406c5da24
origin/agent/recover-apparently-rescue-1dfe4765,1,7249,0,0.0,6,recover: refs/recovery/git-write-20260819T012834Z/1dfe4765369f944344e8b1df028562e4bb824360
origin/agent/recover-apparently-rescue-20bebf3e,1,1429,0,0.0,6,recover: refs/recovery/git-write-20260807T032716Z/20bebf3e04dc288fa9399faf72cd82056a1c566a
origin/agent/recover-apparently-rescue-2347632b,1,3294,0,0.0,6,recover: refs/recovery/git-write-20260724T042601Z/2347632b6fde682c2a6c7db64b5991b89695236e
origin/agent/recover-apparently-rescue-25bbb630,1,986,0,0.0,6,recover: refs/recovery/git-write-20260807T032716Z/25bbb630b183a085bc9005e61ece40a6196c2738
origin/agent/recover-apparently-rescue-269283b9,1,942,0,0.0,6,recover: refs/recovery/git-write-20260811T151154Z/269283b9d0e22b3eacef9e45820ec656611e1689
origin/agent/recover-apparently-rescue-29f9f84b,1,7248,0,0.0,6,recover: refs/recovery/git-write-20260819T012834Z/29f9f84b96dabc3b2864f8090a54da38c74a844c
origin/agent/recover-apparently-rescue-2b609fb2,1,3300,0,0.0,6,recover: refs/orchestrator/integrations/88415531-9ade-47a6-bf89-a506b3da4822/0003/a80a1ca5
origin/agent/recover-apparently-rescue-2b6bfec3,1,1648,0,0.0,6,recover: refs/recovery/git-write-20260807T032716Z/2b6bfec36242f188b4dc7701b172f85f007c6f72
origin/agent/recover-apparently-rescue-2c7f7ee2,1,3298,0,0.0,6,recover: refs/orchestrator/integrations/1a992313-c7f8-47e7-880c-60416fafd26c/0001/a6d71445
origin/agent/recover-apparently-rescue-2e5ccdaf,1,1704,0,0.0,6,recover: refs/recovery/git-write-20260819T012834Z/2e5ccdaf42c821894d474dfd01f95f10f774f43a
origin/agent/recover-apparently-rescue-30a09ea5,1,1438,0,0.0,6,recover: refs/recovery/git-write-20260807T032716Z/30a09ea504cfd659ba8f597f1832d78d796ea4c9
origin/agent/recover-apparently-rescue-3151f220,1,3554,0,0.0,6,recover: refs/recovery/git-write-20260724T042601Z/3151f22046cd30dd5d8c74aecde55f46123a6a0d
origin/agent/recover-apparently-rescue-3194685d,1,1494,0,0.0,6,recover: refs/recovery/git-write-20260807T032716Z/3194685d53389ca29e8361d3d655f1d4d284e116
origin/agent/recover-apparently-rescue-3418c43e,1,986,0,0.0,6,recover: refs/orch-rescue/20260806T144343-apparently-3418c43e
origin/agent/recover-apparently-rescue-363faeff,1,2950,0,0.0,6,recover: refs/orchestrator/integrations/2f31ba88-6b34-4e3c-bc6c-1a93d8c727b0/0001/182fcff7
origin/agent/recover-apparently-rescue-375e73b5,1,1565,0,0.0,6,recover: consolidation/verified-merges-20260817
origin/agent/recover-apparently-rescue-387a2668,1,1704,0,0.0,6,recover: refs/recovery/git-write-20260819T012834Z/387a266842af7f71534c000eeb7c2a0f6d200126
origin/agent/recover-apparently-rescue-38c65243,1,3296,0,0.0,6,recover: refs/orchestrator/integrations/472f78ad-5b62-4fc0-89e5-077dd337df37/0001/72ebfd2f
origin/agent/recover-apparently-rescue-39101f3e,1,1713,0,0.0,6,recover: refs/orchestrator/tasks/7837b5e7-05bd-4d7b-b1b9-a375fb22bce0/0001/138f43801988989
origin/agent/recover-apparently-rescue-3a675996,1,7248,0,0.0,6,recover: refs/orch-rescue/20260813T104526-work-20260813b-3a675996
origin/agent/recover-apparently-rescue-3a6cd791,1,1465,0,0.0,6,recover: refs/recovery/git-write-20260807T032716Z/3a6cd791cc646670bb070aa7422d85bc811c1245
origin/agent/recover-apparently-rescue-3abb17b5,1,1055,0,0.0,6,recover: refs/recovery/git-write-20260811T151154Z/3abb17b528086300d52c75d33368319083129384
origin/agent/recover-apparently-rescue-3c205aec,1,1434,0,0.0,6,recover: refs/archive/agent/dropbox-policy-waterfall-engine-every-approved-change-ripples-
origin/agent/recover-apparently-rescue-3cfab1d8,1,1038,0,0.0,6,recover: refs/archive/agent/backlog-batch-apparently-0d157dd-recover-kpi-dashboard-via-ada
origin/agent/recover-apparently-rescue-3f5ef855,1,3294,0,0.0,6,recover: refs/recovery/git-write-20260724T042601Z/3f5ef8559aa24902f2aecfb7c2874a3dfd99ce8b
origin/agent/recover-apparently-rescue-4475bc92,1,3300,0,0.0,6,recover: refs/recovery/git-write-20260724T042601Z/4475bc92e82b4c94e08d3be5bb2c6d96e67f4e4c
origin/agent/recover-apparently-rescue-45f55e12,1,3301,0,0.0,6,recover: refs/orchestrator/integrations/029acff4-170b-492a-af8c-db2e647702a0/0001/a71652fb
origin/agent/recover-apparently-rescue-49114b27,1,3300,0,0.0,6,recover: refs/recovery/git-write-20260724T042601Z/49114b2743e9bb01a9f8a67b8d13a34c31d7be51
origin/agent/recover-apparently-rescue-50faa929,1,3296,0,0.0,6,recover: refs/orchestrator/integrations/a29c9273-8889-4764-80c4-324ac68d4510/0002/2e66bf42
origin/agent/recover-apparently-rescue-526084af,1,1435,0,0.0,6,recover: refs/recovery/git-write-20260807T032716Z/526084af805abed8f0a3f0664f568e632b892693
origin/agent/recover-apparently-rescue-54ab7d16,1,6440,0,0.0,6,recover: refs/recovery/git-write-20260819T012834Z/54ab7d16bc035974beedcc2e89c9bf0ea33e549a
origin/agent/recover-apparently-rescue-5e984ace,1,1703,0,0.0,6,recover: refs/recovery/git-write-20260819T012834Z/5e984ace7676221d0677f9fb93c03546ea130164
origin/agent/recover-apparently-rescue-6039f593,1,3296,0,0.0,6,recover: refs/archive/sfin/15
origin/agent/recover-apparently-rescue-63713726,1,3399,0,0.0,6,recover: refs/recovery/git-write-20260724T042601Z/637137268f29803e2f8c896f0bcb361f6fb2adde
origin/agent/recover-apparently-rescue-63ffab06,1,3297,0,0.0,6,recover: refs/orchestrator/integrations/5bdf82c8-c4b2-48fd-848d-8429a60fd936/0001/d4e5d24e
origin/agent/recover-apparently-rescue-64f10e41,1,3295,0,0.0,6,recover: refs/orchestrator/integrations/a5ea3ba6-3e36-4494-a0a3-a0afb730dcac/0002/ce086bbb
origin/agent/recover-apparently-rescue-6602ddcb,1,1648,0,0.0,6,recover: refs/recovery/git-write-20260807T032716Z/6602ddcb3abcf3b7277b2d7a180b1548cc8b8d1d
origin/agent/recover-apparently-rescue-661a074c,1,3297,0,0.0,6,recover: refs/orchestrator/integrations/3b370ef8-0578-4c0a-9251-b0c3d567124a/0002/6c4c6d38
origin/agent/recover-apparently-rescue-67138a23,1,3420,0,0.0,6,recover: refs/archive/sfin/17
origin/agent/recover-apparently-rescue-678e4f94,1,612,0,0.0,6,recover: refs/orch-rescue/20260819T125823-dev-merge-678e4f94
origin/agent/recover-apparently-rescue-6bf5fa78,1,805,0,0.0,6,recover: refs/recovery/git-write-20260811T151154Z/6bf5fa78300a83b39a3072087e75d802fad13143
origin/agent/recover-apparently-rescue-6f187e2f,1,3295,0,0.0,6,recover: refs/orchestrator/integrations/007df72b-c752-42c4-b226-302276163174/0005/1597018f
origin/agent/recover-apparently-rescue-71352acc,1,791,0,0.0,6,recover: refs/recovery/git-write-20260811T151154Z/71352accb64242c542b3179c9ecbc798b77de424
origin/agent/recover-apparently-rescue-726d5060,1,7262,0,0.0,6,recover: refs/recovery/git-write-20260807T032716Z/726d5060d03732054cb8ab331a1022c547e314ba
origin/agent/recover-apparently-rescue-756ec70c,1,1417,0,0.0,6,recover: refs/recovery/git-write-20260807T032716Z/756ec70c76dd8419d478f7275e1fefa3110a489b
origin/agent/recover-apparently-rescue-76d19ff0,1,3299,0,0.0,6,recover: refs/orchestrator/integrations/51375c5d-3624-4649-90bc-0456bd2773fa/0002/5cfb4b63
origin/agent/recover-apparently-rescue-7c77facf,1,2380,0,0.0,6,recover: refs/recovery/git-write-20260724T042601Z/7c77facf948acab6c4d8d46b2de2b13f46432d0a
origin/agent/recover-apparently-rescue-7fd0c8cf,1,3294,0,0.0,6,recover: refs/recovery/git-write-20260724T042601Z/7fd0c8cf0bb3fd9bf9e8699f230e262c5e935cc7
origin/agent/recover-apparently-rescue-806f4197,1,2348,0,0.0,6,recover: refs/archive/sfin/11
origin/agent/recover-apparently-rescue-81532ed9,1,1417,0,0.0,6,recover: refs/recovery/git-write-20260807T032716Z/81532ed94941743f5fe1a8e0dc411b176a4b3bba
origin/agent/recover-apparently-rescue-86bd11e6,1,805,0,0.0,6,recover: refs/recovery/git-write-20260811T151154Z/86bd11e6181d9a274e7b6f4aa4074322d8c6fba0
origin/agent/recover-apparently-rescue-8782d46a,1,505,0,0.0,6,recover: refs/recovery/git-write-20260819T012834Z/8782d46a3eb19349097feaa953c93ef499c6a3a2
origin/agent/recover-apparently-rescue-890df2fb,1,1665,0,0.0,6,recover: refs/archive/stash/1786826405/9
origin/agent/recover-apparently-rescue-8a35fdd3,1,3298,0,0.0,6,recover: refs/orchestrator/integrations/4833d0eb-f482-49e3-ae7b-59a37e47b936/0001/4f5f3ddc
origin/agent/recover-apparently-rescue-8b20530b,1,1055,0,0.0,6,recover: refs/recovery/git-write-20260811T151154Z/8b20530b66245d95a3a541d5e263defb162147c2
origin/agent/recover-apparently-rescue-8cf5d2af,1,1306,0,0.0,6,recover: refs/recovery/git-write-20260807T032716Z/8cf5d2af9c5ae76cc15202d71db31d812760faf9
origin/agent/recover-apparently-rescue-8ef35adc,1,1561,0,0.0,6,recover: orchestrator/dev
origin/agent/recover-apparently-rescue-8f93323b,1,1022,0,0.0,6,recover: refs/recovery/git-write-20260807T032716Z/8f93323b287e01ac072331ac2b646b90ba320a60
origin/agent/recover-apparently-rescue-9091e292,1,506,0,0.0,6,recover: refs/recovery/git-write-20260819T012834Z/9091e29231e915b8281dfbab55448fc539956d0e
origin/agent/recover-apparently-rescue-9676097f,1,3297,0,0.0,6,recover: refs/orchestrator/integrations/406a7d77-1fa8-42d2-a0b6-7c2b7fd1bd3b/0001/cb9c8909
origin/agent/recover-apparently-rescue-995c99a5,1,3287,0,0.0,6,recover: refs/orchestrator/integrations/95bc7f79-d600-4ae1-b790-e9c0fe70e194/0001/d087c020
origin/agent/recover-apparently-rescue-9a5ff79b,1,2386,0,0.0,6,recover: refs/recovery/git-write-20260724T042601Z/9a5ff79be51676c1461b57c1f81b57bf95d86f38
origin/agent/recover-apparently-rescue-9c962193,1,3297,0,0.0,6,recover: refs/orchestrator/integrations/0c41f9c3-a745-4080-b920-3def2a99b342/0001/68538459
origin/agent/recover-apparently-rescue-9cdde87a,1,2435,0,0.0,6,recover: refs/archive/stash/1786826405/12
origin/agent/recover-apparently-rescue-9e63821c,1,986,0,0.0,6,recover: refs/recovery/git-write-20260807T032716Z/9e63821c3221962c7459e7acf561340b748e0de8
origin/agent/recover-apparently-rescue-a0e74021,1,986,0,0.0,6,recover: refs/recovery/git-write-20260807T032716Z/a0e740210e45f891eaed025235e0af4f709cd006
origin/agent/recover-apparently-rescue-a66858a2,1,3296,0,0.0,6,recover: refs/archive/stash/1786826405/23
origin/agent/recover-apparently-rescue-adb19f92,1,3386,0,0.0,6,recover: refs/recovery/git-write-20260724T042601Z/adb19f929fc6396933aefd57806427b342010e1a
origin/agent/recover-apparently-rescue-b034e126,1,1704,0,0.0,6,recover: refs/recovery/git-write-20260819T012834Z/b034e126a10725bc43a862611fbfeb46fd98c831
origin/agent/recover-apparently-rescue-b037d0fb,1,1119,0,0.0,6,recover: refs/recovery/git-write-20260807T032716Z/b037d0fb7917140b9b99f24a07e458742f87ad37
origin/agent/recover-apparently-rescue-b18c89f6,1,3299,0,0.0,6,recover: refs/orchestrator/integrations/200c8c58-b621-454c-b0de-e844949dea28/0001/caafd694
origin/agent/recover-apparently-rescue-b92391a1,1,1145,0,0.0,6,recover: refs/recovery/git-write-20260807T032716Z/b92391a1996729ee9d1cc87ebfe74a58ee0d055c
origin/agent/recover-apparently-rescue-ba76dfc5,1,1148,0,0.0,6,recover: refs/recovery/git-write-20260807T032716Z/ba76dfc54cc2d06cf9c7441929763d58b55d4470
origin/agent/recover-apparently-rescue-ba7e0c5c,1,3405,0,0.0,6,recover: refs/recovery/git-write-20260724T042601Z/ba7e0c5ce03ebcc590321c9b6966ccbed4477dbe
origin/agent/recover-apparently-rescue-bd8f8ef6,1,1417,0,0.0,6,recover: refs/orch-rescue/20260805T145520-dropbox-terminal-permissions-framework-admin-set
origin/agent/recover-apparently-rescue-bfc73a0b,1,3298,0,0.0,6,recover: refs/recovery/git-write-20260724T042601Z/bfc73a0b218fec7aa1344737cb9002061f08eddf
origin/agent/recover-apparently-rescue-c093e15a,1,3296,0,0.0,6,recover: refs/orchestrator/integrations/51375c5d-3624-4649-90bc-0456bd2773fa/0001/5cfb4b63
origin/agent/recover-apparently-rescue-c15632aa,1,1417,0,0.0,6,recover: refs/archive/agent/dropbox-cross-app-hivemind-federation-one-market-s-slice-3/178
origin/agent/recover-apparently-rescue-c2b08afa,1,2513,0,0.0,6,recover: refs/orch-rescue/20260805T110457-hive-support-entity-relationship-source-c2b08afa
origin/agent/recover-apparently-rescue-c3389d3a,1,986,0,0.0,6,recover: refs/recovery/git-write-20260807T032716Z/c3389d3a5f83718e782ae166041e7bbf61e3ad57
origin/agent/recover-apparently-rescue-cadc178f,1,875,0,0.0,6,recover: refs/orch-rescue/20260818T053736-apparently-cadc178f
origin/agent/recover-apparently-rescue-cb1121de,1,1055,0,0.0,6,recover: refs/recovery/git-write-20260819T012834Z/cb1121dea855c05baabc6230271b7c8791848e77
origin/agent/recover-apparently-rescue-cddaa609,1,3297,0,0.0,6,recover: refs/orchestrator/integrations/88415531-9ade-47a6-bf89-a506b3da4822/0002/a80a1ca5
origin/agent/recover-apparently-rescue-d05eac27,1,3298,0,0.0,6,recover: refs/orchestrator/integrations/a5ea3ba6-3e36-4494-a0a3-a0afb730dcac/0003/ce086bbb
origin/agent/recover-apparently-rescue-d0fd5972,1,3299,0,0.0,6,recover: refs/orchestrator/integrations/a29c9273-8889-4764-80c4-324ac68d4510/0003/2e66bf42
